Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Jared Polis,12-May-75,15-Dec-16,41,M,1433 Longworth HOB; Washington DC 20515-0602,https://polis.house.gov/forms/writeyourrep/default.aspx,http://polis.house.gov,202-225-2161,Democratic,6-Jan-09,3-Jan-17,7,33,CO,Colorado,3,1433 Longworth House Office Building,rep,2018,Yes,,,
Jason Chaffetz,26-Mar-67,15-Dec-16,49,M,2236 Rayburn HOB; Washington DC 20515-4403,https://chaffetz.house.gov/contact-me/email-me,http://chaffetz.house.gov,202-225-7751,Republican,6-Jan-09,3-Jan-17,7,41,UT,Utah,4,2236 Rayburn House Office Building,rep,2018,No,"Is our air and is our quality of life affected by what we throw into the air and in the water? Yes, of course, but the Al Gore defined global warming is a farce, it is.","Mother Jones, 10/28/14",http://www.motherjones.com/blue-marble/2014/10/craziest-things-republican-candidates-have-said-about-climate-change-one-video
Jason Smith,16-Jun-80,15-Dec-16,36,M,1118 Longworth HOB; Washington DC 20515-2508,https://jasonsmith.house.gov/contact/email-me,http://jasonsmith.house.gov,202-225-4404,Republican,4-Jun-13,3-Jan-17,3,32,MO,Missouri,9,1118 Longworth House Office Building,rep,2018,No,,,
Jeanne Shaheen,28-Jan-47,15-Dec-16,69,F,506 Hart Senate Office Building Washington DC 20510,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov,202-224-2841,Democratic,6-Jan-09,3-Jan-21,7,61,NH,New Hampshire,,506 Hart Senate Office Building,sen,2020,Yes,,,
Jeb Hensarling,29-May-57,15-Dec-16,59,M,2228 Rayburn HOB; Washington DC 20515-4305,https://hensarling.house.gov/contact/email-me,http://hensarling.house.gov,202-225-3484,Republican,7-Jan-03,3-Jan-17,13,45,TX,Texas,6,2228 Rayburn House Office Building,rep,2018,No,,,
Jeff Denham,29-Jul-67,15-Dec-16,49,M,1730 Longworth HOB; Washington DC 20515-0510,https://denham.house.gov/contact-me/email-me,http://denham.house.gov,202-225-4540,Republican,5-Jan-11,3-Jan-17,5,43,CA,California,11,1730 Longworth House Office Building,rep,2018,No,"Nobody really knows the cause. The Earth cools, the Earth warms. It could be caused by carbon dioxide or methane. Maybe we should kill the cows to stop the methane, or stop breathing to stop the CO2. Thousands of people die every year of cold, so if we had global warming it would save lives. We ought to look out for people. The Earth can take care of itself.","Daily Journal, 4/22/14",http://www.smdailyjournal.com/articles/opinions/2014-04-22/op-ed-treat-climate-change-like-a-security-threat/1776425121892.html
Jeff Duncan,7-Jan-66,15-Dec-16,50,M,106 Cannon HOB; Washington DC 20515-4003,https://jeffduncan.house.gov/contact-me/email-me,http://jeffduncan.house.gov,202-225-5301,Republican,5-Jan-11,3-Jan-17,5,44,SC,South Carolina,4,106 Cannon House Office Building,rep,2018,No,At a Department of Homeland Security hearing Rep. Duncan said this notion that manmade climate change is happening is wrong.,"ThinkProgress, 7/8/15",http://thinkprogress.org/climate/2015/07/08/3678084/duncan-illegal-aliens-murdering-beautiful-innocent-lives/
Jeff Flake,31-Dec-62,15-Dec-16,53,M,413 Russell Senate Office Building Washington DC 20510,http://www.flake.senate.gov/contact.cfm,http://www.flake.senate.gov,202-224-4521,Republican,3-Jan-01,3-Jan-19,15,38,AZ,Arizona,,413 Russell Senate Office Building,sen,2018,No,"Certainly, nobody can deny that we've had several years of warmer temperatures. If that signals just a routine change that is manmade or not, I don't think anybody can say definitely.","Arizona Public Radio, 10/25/12",http://knau.org/post/senate-candidates-weigh-climate-change-uranium-mining
Jeff Fortenberry,27-Dec-60,15-Dec-16,55,M,1514 Longworth HOB; Washington DC 20515-2701,https://fortenberry.house.gov/contact-me1,https://fortenberry.house.gov,202-225-4806,Republican,4-Jan-05,3-Jan-17,11,44,NE,Nebraska,2,1514 Longworth House Office Building,rep,2018,No,,,
Jeff Merkley,24-Oct-56,15-Dec-16,60,M,313 Hart Senate Office Building Washington DC 20510,http://www.merkley.senate.gov/contact/,https://www.merkley.senate.gov,202-224-3753,Democratic,6-Jan-09,3-Jan-21,7,52,OR,Oregon,,313 Hart Senate Office Building,sen,2020,Yes,,,
Jeff Miller,27-Jun-59,15-Dec-16,57,M,336 Cannon HOB; Washington DC 20515-0901,https://jeffmiller.house.gov/contact/contactform.htm,http://jeffmiller.house.gov,202-225-4136,Republican,23-Oct-01,3-Jan-17,15,42,FL,Florida,2,336 Cannon House Office Building,rep,2018,No,"On MSNBC, Miller said, the issue of climate change has been happening for a long time, and for us to be able to think that we, as matter of fact, can change what's going on right now to any substantive measure is -- is really kind of foolish in my opinion.","MSNBC, 6/9/14",http://talkingpointsmemo.com/livewire/jeff-miller-human-activity-climate-change-foolish?utm_content=buffere1c64&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Jeff Sessions,24-Dec-46,15-Dec-16,69,M,326 Russell Senate Office Building Washington DC 20510,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov,202-224-4124,Republican,7-Jan-97,3-Jan-21,19,50,AL,Alabama,,326 Russell Senate Office Building,sen,2020,No,"Although the president has repeatedly claimed that global temperatures are increasing 'faster than anybody anticipated,' this assertion is contradicted by plain fact. Climate models have predicted rapid temperature increases, but actual temperatures have been essentially flat for 18 years. We are approaching the 10th anniversary of the last major hurricane to reach landfall in the U.S., yet the Environmental Protection Agency continues to assert that climate change causes more storms.","USA Today, 10/13/15",http://www.usatoday.com/story/opinion/2015/10/13/energy-temperatures-workers-businesses-jeff-sessions-editorials-debates/73887302/
Jerrold Nadler,13-Jun-47,15-Dec-16,69,M,2109 Rayburn HOB; Washington DC 20515-3210,https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx,http://nadler.house.gov,202-225-5635,Democratic,3-Nov-92,3-Jan-17,24,45,NY,New York,11,2109 Rayburn House Office Building,rep,2018,Yes,,,
Jerry McNerney,18-Jun-51,15-Dec-16,65,M,2265 Rayburn HOB; Washington DC 20515-0509,https://mcnerney.house.gov/contact/email-me,http://mcnerney.house.gov,202-225-1947,Democratic,4-Jan-07,3-Jan-17,9,55,CA,California,10,2265 Rayburn House Office Building,rep,2018,Yes,,,
Jerry Moran,29-May-54,15-Dec-16,62,M,521 Dirksen Senate Office Building Washington DC 20510,http://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov,202-224-6521,Republican,7-Jan-97,3-Jan-17,19,42,KS,Kansas,,521 Dirksen Senate Office Building,sen,2022,No,,,
Jim Bridenstine,15-Jun-75,15-Dec-16,41,M,216 Cannon HOB; Washington DC 20515-3601,https://bridenstineforms.house.gov/forms/writeyourrep/,http://bridenstine.house.gov,202-225-2211,Republican,3-Jan-13,3-Jan-17,3,37,OK,Oklahoma,2,216 Cannon House Office Building,rep,2018,No,"""Mr. Speaker, global temperatures stopped rising 10 years ago. Global temperature changes, when they exist, correlate with Sun output and ocean cycles. During the Medieval Warm Period from 800 to 1300 A.D.‹long before cars, power plants, or the Industrial Revolution‹temperatures were warmer than today. During the Little Ice Age from 1300 to 1900 A.D., temperatures were cooler. Neither of these periods were caused by any human activity.","Congressional Hearing, 6/11/13",https://www.youtube.com/watch?v=GUcsAFnwC7k
Jim Cooper,19-Jun-54,15-Dec-16,62,M,1536 Longworth HOB; Washington DC 20515-4205,https://cooper.house.gov/contact/email-me,http://cooper.house.gov,202-225-4311,Democratic,3-Jan-83,3-Jan-17,33,28,TN,Tennessee,6,1536 Longworth House Office Building,rep,2018,Yes,,,
Jim Costa,13-Apr-52,15-Dec-16,64,M,1314 Longworth HOB; Washington DC 20515-0516,http://www.house.gov/formcosta/issue.htm,https://costa.house.gov,202-225-3341,Democratic,4-Jan-05,3-Jan-17,11,52,CA,California,17,1314 Longworth House Office Building,rep,2018,Yes,,,
Jim Jordan,17-Feb-64,15-Dec-16,52,M,1524 Longworth HOB; Washington DC 20515-3504,http://jordan.house.gov/contact/,http://jordan.house.gov,202-225-2676,Republican,4-Jan-07,3-Jan-17,9,42,OH,Ohio,5,1524 Longworth House Office Building,rep,2018,No,,,
Jim McDermott,28-Dec-36,15-Dec-16,79,M,1035 Longworth HOB; Washington DC 20515-4707,https://forms.house.gov/mcdermott/webforms/new/contact.shtml,http://mcdermott.house.gov,202-225-3106,Democratic,3-Jan-89,3-Jan-17,27,52,WA,Washington,8,1035 Longworth House Office Building,rep,2018,Yes,,,
Joaquin Castro,16-Sep-74,15-Dec-16,42,M,212 Cannon HOB; Washington DC 20515-4320,https://castro.house.gov/contact/email-me,http://castro.house.gov,202-225-3236,Democratic,3-Jan-13,3-Jan-17,3,38,TX,Texas,21,212 Cannon House Office Building,rep,2018,Yes,,,
Jody B. Hice,22-Apr-60,15-Dec-16,56,M,1516 Longworth HOB; Washington DC 20515-1010,,https://hice.house.gov,202-225-4101,Republican,6-Jan-15,3-Jan-17,1,54,GA,Georgia,11,1516 Longworth House Office Building,rep,2018,No,ñThe Radical Environmental Movement with former Vice President Al Gore as its poster boy has propagandized the theory of impending environmental disaster due to ïGlobal Warming.ÍƒThe theory is that so-called global warming is caused by greenhouse gases caused by carbon-based fuels.î,"Jody Hice for Congress 2010 archive via the WaybackMachine, last accessed February 2016",https://web.archive.org/web/20100715104711/http:/www.jodyhice.com/issues/tax_kill.html
Joe Barton,15-Sep-49,15-Dec-16,67,M,2107 Rayburn HOB; Washington DC 20515-4306,https://joebarton.house.gov/contact1/,http://joebarton.house.gov,202-225-2002,Republican,3-Jan-85,3-Jan-17,31,35,TX,Texas,7,2107 Rayburn House Office Building,rep,2018,No,"I don't deny that the climate is changing. I think you can have an honest difference of opinion on what's causing that change without automatically being either all-in that it's all because of mankind or it's all just natural. I think there's a divergence of evidence. I would point out if you're a believer in the Bible, one would have to say the Great Flood is an example of climate change. And that certainly wasn't because mankind overdeveloped hydrocarbon energy.","Raw Story, 4/10/13",http://www.rawstory.com/2013/04/rep-joe-barton-biblical-great-flood-shows-climate-change-isnt-man-made/
Joe Courtney,6-Apr-53,15-Dec-16,63,M,2348 Rayburn HOB; Washington DC 20515-0702,https://courtney.house.gov/email-joe1,http://courtney.house.gov,202-225-2076,Democratic,4-Jan-07,3-Jan-17,9,53,CT,Connecticut,3,2348 Rayburn House Office Building,rep,2018,Yes,,,
Joe Donnelly,28-Sep-55,15-Dec-16,61,M,720 Hart Senate Office Building Washington DC 20510,http://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,202-224-4814,Democratic,4-Jan-07,3-Jan-19,9,51,IN,Indiana,,720 Hart Senate Office Building,sen,2018,Yes,,,
"Joe Manchin, III",24-Aug-47,15-Dec-16,69,M,306 Hart Senate Office Building Washington DC 20510,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov,202-224-3954,Democratic,15-Nov-10,3-Jan-19,6,63,WV,West Virginia,,306 Hart Senate Office Building,sen,2018,Yes,,,
Joe Wilson,31-Jul-47,15-Dec-16,69,M,2229 Rayburn HOB; Washington DC 20515-4002,https://joewilson.house.gov/forms/writeyourrep/default.aspx,http://joewilson.house.gov,202-225-2452,Republican,18-Dec-01,3-Jan-17,14,54,SC,South Carolina,3,2229 Rayburn House Office Building,rep,2018,No,"When asked if he believes that human activity is contributing to climate change, Rep. Wilson answered no.",Project Vote Smart Political Courage Survey,http://votesmart.org/candidate/political-courage-test/3985/joe-wilson-sr/
John A. Yarmuth,4-Nov-47,15-Dec-16,69,M,403 Cannon HOB; Washington DC 20515-1703,http://yarmuth.house.gov/contact-john2/,http://yarmuth.house.gov,202-225-5401,Democratic,4-Jan-07,3-Jan-17,9,59,KY,Kentucky,4,403 Cannon House Office Building,rep,2018,Yes,,,
John Abney Culberson,24-Aug-56,15-Dec-16,60,M,2372 Rayburn HOB; Washington DC 20515-4307,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx,http://culberson.house.gov,202-225-2571,Republican,3-Jan-01,3-Jan-17,15,44,TX,Texas,8,2372 Rayburn House Office Building,rep,2018,No,"ñI'm confident humans have had some effect on the climate. We just don't have enough data or accurate data to say with certainty what that effect has been. For example, I have great faith in the constellation of Earth-observing satellites NASA has launched, many of them being used by NOAA.î","Los Angeles Times, 3/5/15",http://www.latimes.com/business/hiltzik/la-fi-mh-inside-gop-science-climate-change-20150304-column.html
John B. Larson,22-Jul-48,15-Dec-16,68,M,1501 Longworth HOB; Washington DC 20515-0701,https://forms.house.gov/larson/contact_new.html,http://larson.house.gov,202-225-2265,Democratic,6-Jan-99,3-Jan-17,17,50,CT,Connecticut,2,1501 Longworth House Office Building,rep,2018,Yes,,,
John Barrasso,21-Jul-52,15-Dec-16,64,M,307 Dirksen Senate Office Building Washington DC 20510,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov,202-224-6441,Republican,25-Jun-07,3-Jan-19,9,54,WY,Wyoming,,307 Dirksen Senate Office Building,sen,2018,No,"In response to a question about how human activities contribute to climate change Barrasso responded, The climate is constantly changing. The role human activity plays is not known.","The Hill, 6/5/14",http://thehill.com/policy/energy-environment/208431-gop-leader-climate-change-science-not-known
John Boozman,10-Dec-50,15-Dec-16,66,M,141 Hart Senate Office Building Washington DC 20510,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,http://www.boozman.senate.gov,202-224-4843,Republican,29-Nov-01,3-Jan-17,15,50,AR,Arkansas,,141 Hart Senate Office Building,sen,2022,No,"Well I think that we've got perhaps climate change going on. The question is what's causing it. Is man causing it, or, you know, is this a cycle that happens throughout the years, throughout the ages. And you can look back some of the previous times when there was no industrialization, you had these different ages, ice ages, and things warming and things. That's the question. More recently, Sen. Boozman said, Now I'm not a scientist but I'm an optometrist, and I spent much of my life working with the scientific community. I was a zoology major. And I've said before that there's nothing scientific about discrediting people who present conflicting evidence and ask reasonable questions.","ThinkProgress, 9/13/10 ||| Arkansas Times, 6/21/14",http://thinkprogress.org/climate/2010/09/13/174788/gop-senate-deniers/ ||| http://www.arktimes.com/ArkansasBlog/archives/2014/06/21/daily-show-ridicules-john-boozman-on-climate-change
John C. Carney Jr.,20-May-56,15-Dec-16,60,M,1406 Longworth HOB; Washington DC 20515-0800,https://forms.house.gov/carney/webforms/email-me.shtml,http://johncarney.house.gov,202-225-4165,Democratic,5-Jan-11,3-Jan-17,5,54,DE,Delaware,1,1406 Longworth House Office Building,rep,2018,Yes,,,
John Conyers Jr.,16-May-29,15-Dec-16,87,M,2426 Rayburn HOB; Washington DC 20515-2213,https://conyers.house.gov/index.cfm/online-contact-form,https://conyers.house.gov,202-225-5126,Democratic,4-Jan-65,3-Jan-17,51,35,MI,Michigan,14,2426 Rayburn House Office Building,rep,2018,Yes,,,
John Cornyn,2-Feb-52,15-Dec-16,64,M,517 Hart Senate Office Building Washington DC 20510,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,https://www.cornyn.senate.gov,202-224-2934,Republican,1-Jan-02,3-Jan-21,14,49,TX,Texas,,517 Hart Senate Office Building,sen,2020,No,"Sen. Cornyn admits that the climate is changing, but he disputes the extent to which humans contribute to it. In 2009 he questioned the validity of climate science research saying: Taxpayer funded research by NASA and the Goddard Institute for Space Studies (GISS) concerning the warmest years on record has been the subject of dispute and after challenges, has been changed and re-released. What is less known is why the changes were made and what inherent flaws existed in the original data, if any. It is important to understand the reasons behind these alterations and further to avoid suspicion that data was massaged to fit the prescribed theory that global warming is attributable to man-made greenhouse gas emissions. And he remains skeptical of the science behind global climate change. In a recent op-ed he said ""climate models fail"" and argued that policies aimed at addressing climate change do more harm than good.","Cornyn, 12/16/09 ||| National Review, 7/20/15",http://www.cornyn.senate.gov/public/index.cfm?p=NewsReleases&ContentRecord_id=4d678d77-cf3a-483d-b55a-426830c34b42&ContentType_id=b94acc28-404a-4fc6-b143-a9e15bf92da4&Group_id=24eb5606-e2db-4d7f-bf6c-efc5df80b676&MonthDisplay=12&YearDisplay=2009 ||| http://www.nationalreview.com/article/421397/climate-change-policy-american-innovation
John Fleming,5-Jul-51,15-Dec-16,65,M,2182 Rayburn HOB; Washington DC 20515-1804,https://fleming.house.gov/contact/contactform.htm,http://fleming.house.gov,202-225-2777,Republican,6-Jan-09,3-Jan-17,7,57,LA,Louisiana,5,2182 Rayburn House Office Building,rep,2018,No,"So after all of these years and all of this policy and now cost to government and to free enterprise, to private businesses and individuals we actually find out that all of that policy is based on what perhaps one could say is voodoo science.","House Committee on Natural Resources hearing, 5/13/15 via The Guardian",http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/may/21/congress-manufactures-doubt-and-denial-in-climate-change-hearing
John Garamendi,24-Jan-45,15-Dec-16,71,M,2438 Rayburn HOB; Washington DC 20515-0503,https://garamendi.house.gov/contact-me/email-me,http://garamendi.house.gov,202-225-1880,Democratic,3-Nov-09,3-Jan-17,7,64,CA,California,4,2438 Rayburn House Office Building,rep,2018,Yes,,,
John Hoeven,13-Mar-57,15-Dec-16,59,M,338 Russell Senate Office Building Washington DC 20510,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,https://www.hoeven.senate.gov,202-224-2551,Republican,5-Jan-11,3-Jan-17,5,53,ND,North Dakota,,338 Russell Senate Office Building,sen,2022,No,"Well, the science shows that there's warming. There's different opinions of exactly what's causing it.",Senate Environmetnal and Public Works Committee Hearing,
